county_id,month_number,month_name,county,fahrenheit
1,1,January,Alameda,50.8
1,2,February,Alameda,46
1,3,March,Alameda,51.7
1,4,April,Alameda,59.3
1,5,May,Alameda,58.5
1,6,June,Alameda,69
1,7,July,Alameda,70.3
1,8,August,Alameda,72.7
1,9,September,Alameda,68.5
1,10,October,Alameda,62.6
1,11,November,Alameda,56.2
1,12,December,Alameda,49.5
2,1,January,Alpine,33.4
2,2,February,Alpine,24.9
2,3,March,Alpine,32.4
2,4,April,Alpine,42
2,5,May,Alpine,43.2
2,6,June,Alpine,54.2
2,7,July,Alpine,60.6
2,8,August,Alpine,62.5
2,9,September,Alpine,52.8
2,10,October,Alpine,43.6
2,11,November,Alpine,40
2,12,December,Alpine,31.9
3,1,January,Amador,46.5
3,2,February,Amador,38.9
3,3,March,Amador,47.4
3,4,April,Amador,57
3,5,May,Amador,56.6
3,6,June,Amador,70.9
3,7,July,Amador,74.6
3,8,August,Amador,75.8
3,9,September,Amador,66.8
3,10,October,Amador,60
3,11,November,Amador,54.3
3,12,December,Amador,44.6
4,1,January,Butte,48.1
4,2,February,Butte,42.3
4,3,March,Butte,49.9
4,4,April,Butte,60.3
4,5,May,Butte,61.2
4,6,June,Butte,74.1
4,7,July,Butte,76.6
4,8,August,Butte,77.5
4,9,September,Butte,69.9
4,10,October,Butte,60.3
4,11,November,Butte,55.2
4,12,December,Butte,46.8
5,1,January,Calaveras,46.9
5,2,February,Calaveras,39.8
5,3,March,Calaveras,47.7
5,4,April,Calaveras,57.4
5,5,May,Calaveras,56.9
5,6,June,Calaveras,71.2
5,7,July,Calaveras,74.8
5,8,August,Calaveras,76
5,9,September,Calaveras,67.6
5,10,October,Calaveras,60.5
5,11,November,Calaveras,54.7
5,12,December,Calaveras,44.9
6,1,January,Colusa,48.4
6,2,February,Colusa,44.3
6,3,March,Colusa,51.2
6,4,April,Colusa,62.4
6,5,May,Colusa,63.4
6,6,June,Colusa,76.2
6,7,July,Colusa,77.5
6,8,August,Colusa,78.8
6,9,September,Colusa,71
6,10,October,Colusa,62.6
6,11,November,Colusa,57.1
6,12,December,Colusa,47.2
7,1,January,Contra Costa,50.4
7,2,February,Contra Costa,46
7,3,March,Contra Costa,52.7
7,4,April,Contra Costa,61
7,5,May,Contra Costa,59.4
7,6,June,Contra Costa,70.9
7,7,July,Contra Costa,71.7
7,8,August,Contra Costa,73.9
7,9,September,Contra Costa,69.7
7,10,October,Contra Costa,64.2
7,11,November,Contra Costa,57.6
7,12,December,Contra Costa,49.4
8,1,January,Del Norte,44.2
8,2,February,Del Norte,35.3
8,3,March,Del Norte,44.6
8,4,April,Del Norte,51
8,5,May,Del Norte,54.9
8,6,June,Del Norte,62.6
8,7,July,Del Norte,64.4
8,8,August,Del Norte,67.3
8,9,September,Del Norte,58.5
8,10,October,Del Norte,51.5
8,11,November,Del Norte,49.5
8,12,December,Del Norte,41.8
9,1,January,El Dorado,43.2
9,2,February,El Dorado,34.4
9,3,March,El Dorado,42.3
9,4,April,El Dorado,52.1
9,5,May,El Dorado,52.6
9,6,June,El Dorado,66
9,7,July,El Dorado,70.6
9,8,August,El Dorado,72
9,9,September,El Dorado,62.8
9,10,October,El Dorado,54.8
9,11,November,El Dorado,50
9,12,December,El Dorado,41.1
10,1,January,Fresno,43.6
10,2,February,Fresno,38.3
10,3,March,Fresno,45.7
10,4,April,Fresno,55.5
10,5,May,Fresno,54.8
10,6,June,Fresno,69
10,7,July,Fresno,73.2
10,8,August,Fresno,74.1
10,9,September,Fresno,66.4
10,10,October,Fresno,56
10,11,November,Fresno,50.5
10,12,December,Fresno,42.4
11,1,January,Glenn,47.6
11,2,February,Glenn,42.8
11,3,March,Glenn,49.6
11,4,April,Glenn,60.4
11,5,May,Glenn,61.4
11,6,June,Glenn,74.7
11,7,July,Glenn,77.1
11,8,August,Glenn,78.3
11,9,September,Glenn,70
11,10,October,Glenn,61.4
11,11,November,Glenn,55.7
11,12,December,Glenn,46.7
12,1,January,Humboldt,46
12,2,February,Humboldt,39.9
12,3,March,Humboldt,47
12,4,April,Humboldt,53.6
12,5,May,Humboldt,56
12,6,June,Humboldt,63.1
12,7,July,Humboldt,67.1
12,8,August,Humboldt,69.8
12,9,September,Humboldt,62.8
12,10,October,Humboldt,55
12,11,November,Humboldt,49.6
12,12,December,Humboldt,44.8
13,1,January,Imperial,55.6
13,2,February,Imperial,54
13,3,March,Imperial,64.6
13,4,April,Imperial,73.6
13,5,May,Imperial,73.4
13,6,June,Imperial,86.3
13,7,July,Imperial,93.2
13,8,August,Imperial,94.1
13,9,September,Imperial,85.8
13,10,October,Imperial,73.1
13,11,November,Imperial,65.4
13,12,December,Imperial,55.2
14,1,January,Inyo,44.2
14,2,February,Inyo,39.6
14,3,March,Inyo,49.6
14,4,April,Inyo,60.8
14,5,May,Inyo,60.8
14,6,June,Inyo,76.6
14,7,July,Inyo,81.8
14,8,August,Inyo,82.5
14,9,September,Inyo,72.5
14,10,October,Inyo,59
