fire_id,county_id,month_number,year,state,wildfire_name,acres_burned,counties,location,latitude,longitude,start_datetime,extinguished_datetime
1581,12,1,2019,CA,Pilot Fire,30,Humboldt,"Pilot Ridge Rd & USFS Route 1, southwest of Willow Creek",40.61805556,-123.6755556,2019-01-01T14:14:00Z,2019-01-15T10:38:00Z
1630,4,4,2019,CA,Cana Fire,10,Butte,"Off Hamilton Nord Cana Hwy & Cana Hwy, northeast of Chico",39.83958,-121.957,2019-04-30T12:20:00Z,2019-05-08T08:47:00Z
1504,15,4,2019,CA,Woody Fire,115,Kern,"Woody Rd & Horseshoe Ranch Rd, northeast of Bakersfield",35.65189,-118.92545,2019-04-30T18:37:00Z,2019-05-08T08:47:00Z
1482,16,4,2019,CA,York Fire,161,Kings,"Hwy 41 and York Ave, 13 miles south of Avenal (Kings County)",35.81778,-120.09715,2019-04-28T22:20:00Z,2019-06-24T11:45:00Z
1580,33,4,2019,CA,Girasol Fire,30,Riverside,"Hwy 111 and Tramway Rd, Palm Springs",0,0,2019-04-09T22:18:00Z,2019-04-10T10:23:00Z
1556,4,5,2019,CA,Meridian Fire,50,Butte,"Off Munjar Rd, north of Chico",39.85484,-121.905,2019-05-01T16:46:00Z,2019-05-08T08:47:00Z
1501,10,5,2019,CA,Hill Fire,121,Fresno," S. Hills Valley Road, north of Orange Cove",36.66909,-119.3046,2019-05-29T17:18:00Z,2019-06-05T15:07:00Z
1414,15,5,2019,CA,Refuge Fire,2500,Kern,"off Twisselmen Road, in the Kern National Wildlife Refuge,15 miles west of Delano",35.72057,-119.62762,2019-05-07T15:47:00Z,2019-05-09T09:37:00Z
1479,15,5,2019,CA,Vulcan Fire,172,Kern,Off Highway 166 at Wind Wolves Preserve,35.03855,-119.19454,2019-05-03T15:04:00Z,2019-05-08T08:48:00Z
1539,31,5,2019,CA,Sugar Fire,65,Placer,"Sugar Pine Road and Big Reservoir Lane, northeast of Foresthill",39.11536,-120.76088,2019-05-10T14:14:00Z,2019-05-24T14:28:00Z
1498,33,5,2019,CA,Shady Fire,130,Riverside,"off Airport Boulevard and Shady Lane in Thermal, southwest of Coachella",33.650237,-116.172534,2019-05-18T22:53:00Z,2019-05-24T14:23:00Z
1548,33,5,2019,CA,66 Fire,55,Riverside,Off Avenue 66 in Thermal,33.57039,-116.1466,2019-05-29T21:06:00Z,2019-06-24T11:46:00Z
1561,33,5,2019,CA,Diversion Fire,45,Riverside,"Near the Intersection of Highway 95 and 2nd Avenue, in Blythe",33.69078,-114.57265,2019-05-30T12:41:00Z,2019-06-03T08:48:00Z
1587,33,5,2019,CA,Foothill Fire,26,Riverside,"Off Foothill Avenue & Orange Avenue, in Nuevo",33.81678,-117.18194,2019-05-20T13:50:00Z,2019-05-24T14:23:00Z
1597,37,5,2019,CA,Border Fire,22,San Diego,off Tin Can Canyon along the border in Otay Mesa,32.557566,-116.8663,2019-05-13T18:46:00Z,2019-05-19T09:26:00Z
1428,40,5,2019,CA,Belmont Fire,835,San Luis Obispo,"Belmont & Costa Mesa Rd, In California Valley",35.30759,-119.96498,2019-05-29T17:10:00Z,2019-06-03T08:44:00Z
1491,43,5,2019,CA,Canyon Fire,144,Santa Clara,"Off Del Puerto Canyon Rd & Diablo Grande Pkwy, west of Patterson",37.45899,-121.22093,2019-05-30T16:19:00Z,2019-06-11T14:40:00Z
1542,52,5,2019,CA,Paskenta Fire,63,Tehama,"Paskenta Rd and Canal View Road, northwest of Corning",39.98097,-122.30737,2019-05-20T10:57:00Z,2019-05-24T14:23:00Z
1579,1,6,2019,CA,Mountain Fire,30,Alameda,off Grant Line Rd and Mountain House Rd,37.75427,-121.57382,2019-06-21T14:42:00Z,2019-06-24T11:06:00Z
1610,4,6,2019,CA,32 Fire,17,Butte,Humboldt Road and Highway 32,39.76242,-121.73659,2019-06-15T15:29:00Z,2019-06-24T11:06:00Z
1619,4,6,2019,CA,Mayberry Fire ,12,Butte,"Off Craig Access Road, Near Lake Oroville ",39.32889,-121.23431,2019-06-29T22:07:59Z,2019-06-29T18:20:00Z
1596,7,6,2019,CA,Willow Fire,23,Contra Costa,"Highway 4 and Willow Pass Rd, 2 miles west of Bay Point",38.02503,-121.9763,2019-06-06T14:24:00Z,2019-06-11T14:47:00Z
1465,24,6,2019,CA,Merced Fire ,210,Merced,"Off of Merced Fall Road and La Grange Road, East of Snelling",37.312877,-120.242411,2019-06-29T15:09:52Z,2019-07-02T15:51:00Z
1411,27,6,2019,CA,Lonoak Fire,2546,Monterey,"Lonoak Rd & Airline Hwy, East of King City  ",36.28426,-120.94771,2019-06-26T09:18:22Z,2019-06-26T18:02:00Z
1563,27,6,2019,CA,Ardo Fire,43,Monterey,near San Ardo,35.97059,-120.88241,2019-06-12T17:23:00Z,2019-06-17T08:46:00Z
1555,28,6,2019,CA,Ink Fire,50,Napa,"Pope Valley Rd, northeast of Calistoga",38.63047,-122.47282,2019-06-08T14:37:00Z,2019-06-17T08:46:00Z
1632,29,6,2019,CA,Long Fire,2,Nevada,"Off of  Long Point Road and Old Mill Road, Southeast of Camptonville in Nevada County ",39.40972222,-121.0005556,2019-06-28T15:03:04Z,2019-06-28T17:33:00Z
1489,31,6,2019,CA,Dyer Fire,148,Placer,"Watt Ave & Dyer Road, northeast of Rio Linda",38.73817,-121.39419,2019-06-26T22:43:07Z,2019-06-27T08:26:00Z
1586,31,6,2019,CA,Watt Fire,27,Placer,Watt Ave near Baseline Road ,38.75263,-121.39259,2019-06-07T12:59:00Z,2019-06-11T14:50:00Z
1437,33,6,2019,CA,Jerry Fire,525,Riverside,"off Gilman Springs Road, between Highway 60 and Jack Rabbit Trail",33.919507,-117.103765,2019-06-21T13:02:00Z,2019-06-24T11:43:00Z
1463,33,6,2019,CA,Wolf Fire ,214,Riverside,"Off of Lamb Canyon Road and California Avenue, Southeast of Beaumont",33.911,-116.980528,2019-06-29T12:54:13Z,2019-06-30T15:51:00Z
1603,33,6,2019,CA,Nuevo Fire,20,Riverside,Nuevo Road and Menifee Road,33.80493,-117.15738,2019-06-27T16:14:25Z,2019-06-27T17:36:00Z
1502,37,6,2019,CA,Weisgarber Fire,120,San Diego,"one mile west of the DeLuz gate, Camp Pendleton",33.39684,-117.29665,2019-06-20T14:56:00Z,2019-06-21T14:22:00Z
1585,37,6,2019,CA,Otay Fire,28,San Diego,"East of the Lower Otay Reservoir, East of Chula Vista",32.62305556,-116.9141667,2019-06-29T11:11:55Z,2019-06-30T16:50:00Z
1616,37,6,2019,CA,Pauma Fire,15,San Diego,Highway 76 and Pauma Valley Road ,33.30267,-116.97772,2019-06-10T14:25:00Z,2019-06-24T11:44:00Z
1420,40,6,2019,CA,McMillan Fire,1764,San Luis Obispo,"Highway 46 East and McMillan Canyon Road, North of Shandon",35.66318,-120.41128,2019-06-12T12:48:00Z,2019-06-24T10:25:00Z
1425,40,6,2019,CA,Boulder Fire,1127,San Luis Obispo,"off Highway 58 and Boulder Creek Road, California Valley",35.343761,-119.913717,2019-06-05T10:49:00Z,2019-06-11T14:49:00Z
1503,40,6,2019,CA,Bitter Fire ,120,San Luis Obispo,Bitterwater Road East of Paso Robles,35.57376,-120.11738,2019-06-10T11:55:00Z,2019-06-11T17:18:00Z
1466,43,6,2019,CA,Malech Fire,210,Santa Clara,"Malech Rd & Bailey Rd, South San Jose",37.21638,-121.70768,2019-06-09T14:29:00Z,2019-06-11T17:17:00Z
1570,43,6,2019,CA,Calaveras Fire ,35,Santa Clara,Calaveras Road and Weller Road East of Milpitas,37.44422,-121.84082,2019-06-10T15:16:00Z,2019-06-17T08:46:00Z
1609,43,6,2019,CA,Mines Fire,17,Santa Clara,Mines Road and Turner Gulch in the San Antone Valley. ,37.494136,-121.534827,2019-06-26T18:06:54Z,2019-06-27T08:48:00Z
